SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.080806647,0.88551908,43,0,0.177512717,5700.0,4,0,0,0,0.0
0.040718741,0.463295269,57,0,0.527236928,9141.0,15,0,4,0,2.0
0.011968341,0.043275036,59,0,0.687647522,5083.0,12,0,1,0,2.0
0.067639933,0.280308229,38,1,0.925960637,3200.0,7,0,2,0,0.0
0.108263859,0.9999999,27,0,0.019917227,3865.0,4,0,0,0,1.0
0.027519732,0.509791452,63,0,0.342429365,4140.0,4,0,0,0,1.0
0.04729395,0.587778161,50,0,1048.0,0.0,5,0,0,0,3.0
0.041027039,0.046148938,79,1,0.3691702,3301.0,8,0,1,0,1.0
0.00422303,0.013527027,68,0,2024.0,3252.2424663263578,4,0,1,0,0.0
0.37712881,0.9999999,23,98,0.0,0.0,0,98,0,98,0.0
0.012478593,0.0284849,37,0,0.319686529,7400.0,8,0,1,0,1.0
0.022617611,0.085076597,52,0,0.903552105,4250.0,6,0,2,0,0.0
0.008333931,0.010596142,68,0,0.007782101,3854.0,16,0,0,0,0.0
0.043935965,0.380678869,30,0,0.37744902,2500.0,12,0,0,0,1.0
0.047308764,0.556893515,56,0,0.697347208,6822.0,14,0,1,0,1.0
0.024631906,0.079055723,28,0,0.105831231,7133.0,8,0,0,0,0.0
0.027441388,0.543013445,72,0,0.461786138,5900.0,10,0,2,0,1.0
0.013997746,0.11234564,37,0,0.144326363,2916.0,7,0,0,0,0.0
0.222881693,0.648285056,29,0,0.174850033,4500.0,4,0,0,1,1.0
0.091325029,0.686406344,43,0,487.0,3842.874198342982,10,0,0,0,1.0
0.012180794,0.085909749,48,0,0.19615602,8844.0,8,0,1,0,1.0
0.009499758,0.158548716,61,0,0.353158292,11920.0,13,0,1,0,0.0
0.011288653,0.009303162,69,0,0.384451019,6083.0,4,0,2,0,0.0
0.514438462,0.95744175,69,2,0.666337936,3041.0,8,1,1,1,1.0
0.085839337,0.442489363,50,1,0.286554523,8500.0,17,0,1,0,2.0
0.017220625,0.125267033,51,0,3825.0,4906.335066145392,10,0,2,0,0.0
0.085247596,0.9999999,45,0,0.0,4750.0,1,0,0,0,1.0
0.008568926,0.181480656,67,0,1509.0,4100.509422513775,12,0,1,0,0.0
0.055082258,0.729396906,34,0,0.335555259,7500.0,6,0,2,0,1.0
0.032466807,0.024445377,47,0,5810.0,6512.977591432359,20,0,2,0,2.0
0.047326418,0.691411308,44,0,0.173777315,4804.0,10,0,0,0,0.0
0.008162568,0.0,55,0,2007.0,3528.336082168472,5,0,1,0,0.0
0.013434981,0.0,57,0,0.212446888,4000.0,12,0,0,0,0.0
0.055487671,0.817480149,54,0,0.13272101,4354.0,6,0,0,0,0.0
0.331720175,1.008266866,61,4,0.261173013,8166.0,14,0,1,0,1.0
0.050096943,0.423358479,49,0,0.616301423,2600.0,13,0,1,0,1.0
0.032459991,0.282515024,32,0,0.49290142,5000.0,10,0,1,0,1.0
