SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.0,41,0,3372.0,,8,0,1,0,0.0
0,0.924198251,27,0,896.0,,6,0,0,0,
0,0.016017539,77,0,702.0,,6,0,1,0,0.0
0,0.009126941,88,0,6.0,,3,0,0,0,
1,0.9999999,51,1,370.0,,3,2,0,0,0.0
0,0.008114756,55,0,5693.0,,11,0,4,0,0.0
0,0.010923661,58,0,3216.0,,9,0,1,0,0.0
0,0.275833728,57,0,331.0,,5,0,0,0,1.0
0,0.5423505,54,0,865.0,,5,0,1,0,1.0
0,0.02229777,79,0,104.0,,5,0,0,0,0.0
0,0.012749545,58,0,41.0,,4,0,0,0,0.0
0,0.368573535,48,0,1737.0,,8,0,1,0,1.0
0,0.077393401,65,0,1393.0,,12,0,2,0,
0,0.507194045,53,0,2133.0,,4,0,2,0,0.0
0,0.517800571,67,0,4221.0,,14,0,1,0,0.0
0,0.35318298,54,0,2649.0,,6,0,1,0,0.0
0,0.053330101,38,0,924.0,,3,0,1,0,0.0
0,0.044789163,41,0,1837.0,,4,0,1,0,0.0
0,0.044230641,71,0,59.0,,5,0,0,0,0.0
0,0.01004103,53,2,2092.0,,8,0,3,0,0.0
0,0.15239746,54,0,4320.0,,11,0,3,0,2.0
0,0.056805507,79,0,518.0,,4,0,1,0,0.0
0,0.307702917,41,0,4183.0,,9,0,2,0,2.0
0,0.08226138,64,0,214.0,,5,0,1,0,
0,0.096790199,48,0,75.0,,3,0,0,0,0.0
0,0.021194378,74,0,2683.0,,15,0,1,0,0.0
0,0.9999999,51,0,635.0,,1,0,0,0,2.0
0,0.093144183,60,0,980.0,,8,0,1,0,0.0
0,0.256931101,65,0,1580.0,,12,0,1,0,0.0
0,0.001166569,78,0,1568.0,,4,0,1,0,0.0
0,0.616922885,52,0,147.0,,2,0,0,0,0.0
0,0.148920973,54,0,87.0,,3,0,0,0,0.0
0,0.118229392,57,0,3639.0,,11,0,2,0,
0,0.128862543,60,0,3140.0,,13,0,2,0,0.0
0,0.0,71,0,774.0,,2,0,1,0,
0,0.226085563,55,0,3301.0,,15,0,2,0,0.0
0,0.040162721,54,0,3827.0,,12,0,2,0,0.0
0,0.000250391,57,0,2369.0,,14,0,1,0,1.0
0,0.003454388,61,0,279.0,,2,0,0,0,0.0
0,0.104673199,72,0,76.0,,5,0,0,0,0.0
0,0.535876169,61,0,5852.0,,16,0,2,0,0.0
0,0.180093772,43,0,2311.0,,16,0,2,0,0.0
0,0.005296498,60,0,2101.0,,5,0,2,0,0.0
0,0.019794273,63,0,1690.0,,15,0,1,0,1.0
0,0.223969715,53,0,3870.0,,12,0,1,0,0.0
0,0.00897972,59,0,2525.0,,19,0,2,0,0.0
0,0.031573489,55,0,1262.0,,5,0,1,0,0.0
0,0.01739913,72,0,814.0,,5,0,1,0,0.0
0,0.058983689,68,0,1056.0,,5,0,1,0,0.0
0,0.071755613,76,0,58.0,,5,0,0,0,
0,0.084991501,67,0,25.0,,2,0,0,0,1.0
0,0.025136017,59,0,555.0,,11,0,0,0,0.0
0,0.266904576,52,0,3161.0,,11,0,1,0,3.0
0,0.0,58,0,1808.0,,7,0,1,0,3.0
0,0.0769021,58,0,1586.0,,2,0,1,0,
0,0.011884158,71,0,411.0,,8,0,0,0,0.0
0,0.314524394,47,0,2962.0,,10,0,2,0,0.0
0,0.025481552,64,0,3516.0,,26,0,2,0,0.0
0,0.166229174,46,0,2150.0,,8,0,2,0,0.0
0,0.054622135,43,0,429.0,,10,0,0,0,0.0
0,0.09116002,62,0,112.0,,4,0,0,0,
0,0.007576104,74,0,14.0,,9,0,0,0,0.0
0,0.9999999,76,0,0.0,,1,0,0,0,0.0
1,0.025586733,54,1,67.0,,6,0,0,0,0.0
0,0.005816688,69,0,919.0,,7,0,1,0,0.0
0,0.109578084,59,0,1736.0,,9,0,2,0,0.0
0,0.033682005,66,0,2214.0,,15,0,1,0,1.0
0,0.9999999,37,0,0.0,,0,0,0,0,1.0
0,0.011342554,53,0,2451.0,,8,0,2,0,1.0
0,0.011217875,68,0,708.0,,9,0,0,0,0.0
0,0.287248936,62,0,1739.0,,9,0,1,0,0.0
0,0.0,28,0,250.0,,4,0,0,0,0.0
0,0.060912248,51,0,886.0,,5,0,1,0,0.0
1,0.667918638,33,2,565.0,,12,2,0,0,3.0
0,0.008559177,58,0,1536.0,,12,0,1,0,0.0
0,0.018070112,71,0,1310.0,,8,0,1,0,0.0
0,0.379258624,51,0,3029.0,,7,0,2,0,0.0
0,0.029999077,65,0,29.0,,7,0,0,0,0.0
0,0.037250235,71,0,1413.0,,12,0,1,0,0.0
0,0.149994209,43,0,1200.0,,4,0,0,0,0.0
0,0.601538115,48,0,2592.0,,16,0,0,0,0.0
0,0.61172717,30,0,2666.0,,6,0,2,0,0.0
0,0.023799683,64,0,1823.0,,17,0,1,0,0.0
0,0.001733304,54,0,1816.0,,11,0,2,0,1.0
0,0.002985672,61,0,2719.0,,7,0,1,0,0.0
0,0.019420597,84,0,18.0,,4,0,0,0,0.0
0,0.9999999,50,2,1515.0,,7,0,2,0,3.0
0,0.018410238,60,0,4503.0,,8,0,2,0,
0,0.0,25,0,590.0,,3,0,0,0,
0,0.242298837,54,0,3480.0,,12,0,2,0,0.0
1,0.283543291,25,0,42.0,,3,0,0,0,
0,0.073310736,47,0,6024.0,,12,0,2,0,0.0
0,0.048625334,66,0,4715.0,,7,0,2,0,0.0
0,0.771982597,45,0,1815.0,,11,0,0,0,0.0
0,0.004385837,72,0,3004.0,,11,0,2,0,0.0
0,0.082679859,48,0,685.0,,2,0,1,0,
0,0.027078847,66,0,708.0,,7,0,1,0,0.0
0,0.115716177,65,0,1604.0,,17,0,1,0,0.0
0,0.193542144,58,0,181.0,,12,0,0,0,0.0
0,0.015781247,75,0,22.0,,7,0,0,0,0.0
0,0.01685634,76,0,10.0,,7,0,0,0,0.0
0,0.001830223,71,0,2119.0,,17,0,2,0,0.0
0,0.9999999,62,0,56.0,,0,0,0,0,1.0
0,0.05484433,51,0,1215.0,,6,0,1,0,0.0
0,0.62163937,54,0,3262.0,,14,0,1,0,0.0
0,0.9999999,36,0,4397.0,,3,0,2,0,0.0
0,0.9999999,32,0,1571.0,,2,0,2,0,
0,0.280634271,38,0,5725.0,,8,0,2,0,3.0
0,0.084285879,41,0,5850.0,,9,0,2,0,2.0
0,0.028230812,47,0,621.0,,18,0,0,0,0.0
0,0.9999999,56,0,220.0,,1,0,0,0,0.0
0,0.084403124,62,0,1645.0,,3,0,1,0,1.0
0,0.085412906,59,0,3717.0,,7,0,1,0,
1,0.9999999,80,0,184.0,,3,0,0,0,0.0
0,0.05652873,47,0,59.0,,4,0,0,0,
0,0.9999999,58,0,5538.0,,6,0,2,0,1.0
0,0.0,46,0,267.0,,5,0,0,0,0.0
0,0.0297956,91,0,26.0,,4,0,0,0,
1,0.01408411,52,0,3577.0,,5,0,2,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,0.0
0,0.097674162,55,0,1417.0,,6,0,1,0,0.0
0,0.261837229,48,0,5669.0,,10,0,3,0,0.0
0,0.034491246,49,0,1369.0,,7,0,1,0,0.0
0,0.917079083,66,0,1743.0,,4,0,1,0,0.0
0,0.567445438,57,0,932.0,,4,0,1,0,0.0
0,0.180297567,44,0,934.0,,7,0,1,0,0.0
0,0.00092303,64,0,0.0,,2,0,0,0,0.0
0,0.34159369,54,0,2031.0,,4,0,2,1,
0,0.012951764,68,0,1968.0,,5,0,1,0,0.0
0,0.646232439,42,1,4438.0,,13,0,2,0,2.0
0,0.0,55,0,6581.0,,9,0,4,0,3.0
0,0.054702964,58,0,1728.0,,8,0,1,0,0.0
